Date,BITW100
Mon Jan 08 2018 00:00:00 GMT+0000,34497.59
Tue Jan 09 2018 00:00:00 GMT+0000,30321.63
Wed Jan 10 2018 00:00:00 GMT+0000,29895.45
Thu Jan 11 2018 00:00:00 GMT+0000,30017.96
Fri Jan 12 2018 00:00:00 GMT+0000,27336.21
Sat Jan 13 2018 00:00:00 GMT+0000,29200.08
Sun Jan 14 2018 00:00:00 GMT+0000,30534.28
Mon Jan 15 2018 00:00:00 GMT+0000,29150.22
Tue Jan 16 2018 00:00:00 GMT+0000,28236.15
Wed Jan 17 2018 00:00:00 GMT+0000,22128.66
Thu Jan 18 2018 00:00:00 GMT+0000,22202.42
Fri Jan 19 2018 00:00:00 GMT+0000,23125.25
Sat Jan 20 2018 00:00:00 GMT+0000,23564.35
Sun Jan 21 2018 00:00:00 GMT+0000,25761.58
Mon Jan 22 2018 00:00:00 GMT+0000,23034.48
Tue Jan 23 2018 00:00:00 GMT+0000,21733.92
Wed Jan 24 2018 00:00:00 GMT+0000,21624.17
Thu Jan 25 2018 00:00:00 GMT+0000,22708.93
Fri Jan 26 2018 00:00:00 GMT+0000,22404.38
Sat Jan 27 2018 00:00:00 GMT+0000,22075.21
Sun Jan 28 2018 00:00:00 GMT+0000,22724.66
Mon Jan 29 2018 00:00:00 GMT+0000,24213.22
Tue Jan 30 2018 00:00:00 GMT+0000,23249.4
Wed Jan 31 2018 00:00:00 GMT+0000,20495.22
Thu Feb 01 2018 00:00:00 GMT+0000,21046.88
Fri Feb 02 2018 00:00:00 GMT+0000,18516.42
Sat Feb 03 2018 00:00:00 GMT+0000,17317.1
Sun Feb 04 2018 00:00:00 GMT+0000,18134.05
Mon Feb 05 2018 00:00:00 GMT+0000,16101.58
Tue Feb 06 2018 00:00:00 GMT+0000,13500.44
Wed Feb 07 2018 00:00:00 GMT+0000,15112.76
Thu Feb 08 2018 00:00:00 GMT+0000,14633.35
Fri Feb 09 2018 00:00:00 GMT+0000,16161.54
Sat Feb 10 2018 00:00:00 GMT+0000,17515.75
Sun Feb 11 2018 00:00:00 GMT+0000,17399.85
Mon Feb 12 2018 00:00:00 GMT+0000,16448.74
Tue Feb 13 2018 00:00:00 GMT+0000,17759.23
Wed Feb 14 2018 00:00:00 GMT+0000,17187.35
Thu Feb 15 2018 00:00:00 GMT+0000,19058.16
Fri Feb 16 2018 00:00:00 GMT+0000,19759.17
Sat Feb 17 2018 00:00:00 GMT+0000,20078.46
Sun Feb 18 2018 00:00:00 GMT+0000,21190.18
Mon Feb 19 2018 00:00:00 GMT+0000,19933.52
Tue Feb 20 2018 00:00:00 GMT+0000,20851.27
Wed Feb 21 2018 00:00:00 GMT+0000,20204.96
Thu Feb 22 2018 00:00:00 GMT+0000,19006.87
Fri Feb 23 2018 00:00:00 GMT+0000,17747.4
Sat Feb 24 2018 00:00:00 GMT+0000,18636.48
Sun Feb 25 2018 00:00:00 GMT+0000,17860.96
Mon Feb 26 2018 00:00:00 GMT+0000,17799.97
Tue Feb 27 2018 00:00:00 GMT+0000,18713.64
Wed Feb 28 2018 00:00:00 GMT+0000,18962.17
Thu Mar 01 2018 00:00:00 GMT+0000,18265.6
Fri Mar 02 2018 00:00:00 GMT+0000,19016.79
Sat Mar 03 2018 00:00:00 GMT+0000,18924.93
Sun Mar 04 2018 00:00:00 GMT+0000,19168.92
Mon Mar 05 2018 00:00:00 GMT+0000,19521.16
Tue Mar 06 2018 00:00:00 GMT+0000,19187.78
Wed Mar 07 2018 00:00:00 GMT+0000,18123.71
Thu Mar 08 2018 00:00:00 GMT+0000,16726.21
Fri Mar 09 2018 00:00:00 GMT+0000,15751.07
